GeneID,Name
LOC105441711,SLC16A12
LOC105442294,SLC16A14
LOC576183,SLC16A14
LOC590650,SLC16A14
LOC100892968,SLC16A14
LOC757208,SLC16A14
LOC105438336,SLC16A14
LOC105438055,SLC16A14
LOC100889733,SLC16A14
LOC577433,SLC16A14
LOC100893965,SLC16A14
LOC592769,SLC16A14
LOC586792,SLC16A14
LOC100893765,SLC16A14
LOC590958,SLC16A14
LOC579204,SLC16A14
LOC588518,SLC16A14
LOC586819,SLC16A14
LOC580049,SLC18A1
LOC100889603,SLC18A1
LOC105437270,SLC18A1
LOC100889040,SLC18A1
LOC586864,SLC19A2
LOC583305,SLC20A
LOC582615,SLC20A
LOC588010,SLC20A
LOC578342,SLC22A4
LOC592117,SLC22A4
LOC582688,SLC22A4
LOC591325,SLC22A4
LOC100891132,SLC22A4
LOC764907,SLC22A4
LOC764065,SLC22A4
LOC591348,SLC22A4
LOC588031,SLC22A4
LOC585536,SLC22A4
LOC582118,SLC22A4
LOC590315,SLC22A4
LOC591481,SLC22A4
LOC756287,SLC22A4
LOC582498,SLC24A2
LOC592113,SLC24A5
LOC100892190,SLC24A6
LOC105442119,SLC24A6
LOC576892,SLC25A1
LOC105436399,SLC25A2
LOC577743,SLC25A3
LOC593975,SLC25A10
LOC593176,SLC25A11
LOC756648,SLC25A11
LOC584986,SLC25A14
LOC580690,SLC25A14
LOC105443468,SLC25A14
LOC580807,SLC25A14
LOC584753,SLC25A16
LOC753367,SLC25A18
LOC579067,SLC25A19
LOC582417,SLC25A20
LOC585283,SLC25A20
LOC577791,SLC25A21
LOC588410,SLC25A23
LOC592104,SLC25A26
LOC580090,SLC25A27
LOC577787,SLC25A32
LOC583160,SLC25A33
LOC576399,SLC25A42
LOC584469,SLC26A11
LOC574650,SLC26A11
LOC588180,SLC27A6
LOC590092,SLC27A6
LOC590108,SLC27A6
LOC592207,SLC29A1
LOC100892670,SLC29A1
LOC105442699,SLC29A1
LOC578611,SLC29A4
LOC584166,SLC30A1
LOC582642,SLC30A2
LOC100891808,SLC30A2
LOC582706,SLC30A2
LOC578888,SLC30A5
LOC756267,SLC30A5
LOC589887,SLC30A6
LOC585091,SLC30A9
LOC585004,SLC30A9
LOC580143,SLC31A1
LOC100888175,SLC31A1
LOC593695,SLC31A1
LOC576137,SLC34A
LOC576072,SLC34A
LOC582566,SLC35A1
LOC592955,SLC35A1
LOC585592,SLC35A1
LOC574819,SLC35A1
LOC576323,SLC35A1
LOC100890493,SLC35A4
LOC588619,SLC35A5
LOC578873,SLC35B2
LOC105439617,SLC35B3
LOC575908,SLC35B4
LOC593968,SLC35C1
LOC577438,SLC35D
LOC578420,SLC35D
LOC574755,SLC35F3
LOC764407,SLC35F3
LOC579594,SLC37A2
LOC589810,SLC37A3
LOC105441766,SLC37A4
LOC754194,SLC39A1
LOC576732,SLC39A1
LOC755663,SLC39A1
LOC590181,SLC39A1
LOC582713,SLC39A7
LOC587373,SLC39A9
LOC753062,SLC39A10
LOC589828,SLC39A11
LOC587958,SLC39A12
LOC584043,SLC39A13
LOC763759,SLC39A14
LOC584796,SLC42A
LOC580733,SLC43A2
LOC583308,SLC44A1
LOC100889933,SLC44A1
LOC593044,SLC44A2
LOC586913,SLC44A2
LOC588147,SLC44A2
LOC585105,SLC45A1
LOC593620,SLC45A1
LOC581639,SLC46A1
LOC576327,SLC46A1
LOC100891142,SLC46A1
LOC753373,SLC46A1
LOC764328,SLC46A1
LOC762767,SLC46A1
LOC755719,SLC46A1
LOC582728,SLC46A1
LOC581090,SLC46A1
LOC581471,SLC46A1
LOC100889368,SLC46A1
LOC590484,SLC46A1
LOC588699,SLC46A3
LOC581591,SLC46A3
LOC100893391,SLC48A1
LOC753750,SLC50A
LOC100890911,SLC50A
LOC105446523,SLC50A
LOC763547,SLC9A3
